ID ,Producto,Km, Tipo, Costo
2,MOUSE_GENIUS,55,3,4480
4,MONITOR_SAMSUNG_24,51,3,4160
9,MONITOR_SAMSUNG_24,90,3,7280
11,NOTEBOOK_HP,59,3,4800
17,TV_LG_54,104,3,8400
18,TECLADO_ESP,47,3,3229
19,MONITOR_SAMSUNG_24,18,3,1286
21,MOUSE_GENIUS,71,3,5760
24,TECLADO_ESP,11,3,817
25,MOUSE_GENIUS,36,3,2492
26,CELULAR_MOTOG5,36,3,2492
28,NOTEBOOK_HP,109,3,8800
30,NOTEBOOK_HP,52,3,4240
33,MOUSE_GENIUS,33,3,2291
36,NOTEBOOK_HP,85,3,6880
39,TECLADO_ESP,83,3,6720
40,TV_LG_54,45,3,3095
46,TECLADO_ESP,23,3,1621
64,TV_LG_54,22,3,1554
68,NOTEBOOK_HP,97,3,7840
71,CELULAR_MOTOG6,56,3,4560
73,TECLADO_ESP,29,3,2023
75,MONITOR_SAMSUNG_24,18,3,1286
79,MONITOR_SAMSUNG_24,53,3,4320
80,TECLADO_ESP,82,3,6640
83,TV_LG_54,104,3,8400
84,CELULAR_MOTOG5,54,3,4400
87,TV_LG_54,39,3,2693
88,CELULAR_MOTOG6,38,3,2626
91,CELULAR_MOTOG5,101,3,8160
99,MONITOR_SAMSUNG_24,19,3,1353
102,TECLADO_ESP,52,3,4240
106,CELULAR_MOTOG6,85,3,6880
108,MONITOR_SAMSUNG_24,110,3,8880
109,MOUSE_GENIUS,12,3,884
110,MONITOR_SAMSUNG_24,89,3,7200
111,MONITOR_SAMSUNG_24,17,3,1219
113,MOUSE_GENIUS,110,3,8880
114,NOTEBOOK_HP,32,3,2224
120,MOUSE_GENIUS,11,3,817
122,MOUSE_GENIUS,63,3,5120
125,TV_LG_54,44,3,3028
127,CELULAR_MOTOG6,80,3,6480
128,MOUSE_GENIUS,35,3,2425
130,TV_LG_54,99,3,8000
132,CELULAR_MOTOG6,24,3,1688
141,MOUSE_GENIUS,45,3,3095
142,MONITOR_SAMSUNG_24,43,3,2961
149,CELULAR_MOTOG5,26,3,1822
155,CELULAR_MOTOG6,41,3,2827
157,CELULAR_MOTOG6,65,3,5280
158,MONITOR_SAMSUNG_24,30,3,2090
161,MOUSE_GENIUS,49,3,3363
163,MOUSE_GENIUS,95,3,7680
166,CELULAR_MOTOG5,77,3,6240
175,CELULAR_MOTOG6,110,3,8880
176,TECLADO_ESP,78,3,6320
180,CELULAR_MOTOG6,98,3,7920
187,NOTEBOOK_HP,110,3,8880
190,CELULAR_MOTOG6,91,3,7360
196,CELULAR_MOTOG5,76,3,6160
198,CELULAR_MOTOG5,61,3,4960
201,TV_LG_54,46,3,3162
202,MOUSE_GENIUS,55,3,4480
204,MOUSE_GENIUS,101,3,8160
211,NOTEBOOK_HP,57,3,4640
214,CELULAR_MOTOG6,109,3,8800
215,TECLADO_ESP,21,3,1487
221,TECLADO_ESP,62,3,5040
227,CELULAR_MOTOG6,106,3,8560
230,TECLADO_ESP,76,3,6160
233,CELULAR_MOTOG6,57,3,4640
234,CELULAR_MOTOG5,47,3,3229
235,NOTEBOOK_HP,25,3,1755
239,TV_LG_54,86,3,6960
240,CELULAR_MOTOG5,95,3,7680
245,CELULAR_MOTOG5,41,3,2827
246,TECLADO_ESP,79,3,6400
249,TV_LG_54,66,3,5360
250,TECLADO_ESP,21,3,1487
255,TECLADO_ESP,28,3,1956
257,TV_LG_54,79,3,6400
259,TV_LG_54,80,3,6480
261,NOTEBOOK_HP,110,3,8880
263,TV_LG_54,17,3,1219
265,NOTEBOOK_HP,83,3,6720
266,TECLADO_ESP,34,3,2358
267,CELULAR_MOTOG5,17,3,1219
268,TV_LG_54,87,3,7040
272,TV_LG_54,24,3,1688
273,TV_LG_54,46,3,3162
282,TECLADO_ESP,56,3,4560
292,CELULAR_MOTOG6,52,3,4240
293,TV_LG_54,97,3,7840
296,MOUSE_GENIUS,42,3,2894
299,NOTEBOOK_HP,72,3,5840
305,MONITOR_SAMSUNG_24,103,3,8320
306,TV_LG_54,107,3,8640
307,NOTEBOOK_HP,32,3,2224
310,TV_LG_54,54,3,4400
313,MOUSE_GENIUS,11,3,817
318,MOUSE_GENIUS,53,3,4320
322,TECLADO_ESP,22,3,1554
324,NOTEBOOK_HP,87,3,7040
328,MONITOR_SAMSUNG_24,11,3,817
331,NOTEBOOK_HP,36,3,2492
334,TV_LG_54,53,3,4320
339,TECLADO_ESP,44,3,3028
340,NOTEBOOK_HP,35,3,2425
344,MONITOR_SAMSUNG_24,51,3,4160
345,CELULAR_MOTOG5,92,3,7440
346,CELULAR_MOTOG6,52,3,4240
347,MOUSE_GENIUS,78,3,6320
352,TV_LG_54,79,3,6400
354,TV_LG_54,78,3,6320
355,TV_LG_54,87,3,7040
359,NOTEBOOK_HP,40,3,2760
364,TECLADO_ESP,15,3,1085
370,TECLADO_ESP,57,3,4640
371,TV_LG_54,13,3,951
373,NOTEBOOK_HP,108,3,8720
376,CELULAR_MOTOG6,53,3,4320
379,TV_LG_54,17,3,1219
382,NOTEBOOK_HP,107,3,8640
383,TV_LG_54,21,3,1487
386,CELULAR_MOTOG5,13,3,951
390,NOTEBOOK_HP,34,3,2358
392,TECLADO_ESP,10,3,750
393,NOTEBOOK_HP,48,3,3296
394,MOUSE_GENIUS,78,3,6320
395,MOUSE_GENIUS,67,3,5440
396,TV_LG_54,60,3,4880
398,CELULAR_MOTOG5,97,3,7840
399,TV_LG_54,44,3,3028
401,TECLADO_ESP,104,3,8400
402,TV_LG_54,77,3,6240
404,MONITOR_SAMSUNG_24,15,3,1085
409,MONITOR_SAMSUNG_24,36,3,2492
410,MONITOR_SAMSUNG_24,45,3,3095
415,TECLADO_ESP,81,3,6560
416,NOTEBOOK_HP,32,3,2224
417,MONITOR_SAMSUNG_24,45,3,3095
418,CELULAR_MOTOG5,36,3,2492
423,TV_LG_54,99,3,8000
425,CELULAR_MOTOG6,70,3,5680
428,CELULAR_MOTOG5,19,3,1353
430,CELULAR_MOTOG6,91,3,7360
431,TECLADO_ESP,70,3,5680
436,MOUSE_GENIUS,44,3,3028
438,MOUSE_GENIUS,77,3,6240
439,MOUSE_GENIUS,21,3,1487
442,TV_LG_54,107,3,8640
445,MONITOR_SAMSUNG_24,45,3,3095
451,TV_LG_54,63,3,5120
453,CELULAR_MOTOG6,82,3,6640
456,NOTEBOOK_HP,51,3,4160
459,CELULAR_MOTOG6,60,3,4880
461,TECLADO_ESP,103,3,8320
463,CELULAR_MOTOG5,20,3,1420
464,CELULAR_MOTOG5,85,3,6880
469,TECLADO_ESP,107,3,8640
470,TV_LG_54,53,3,4320
472,TECLADO_ESP,110,3,8880
477,TV_LG_54,82,3,6640
478,MONITOR_SAMSUNG_24,33,3,2291
481,MOUSE_GENIUS,60,3,4880
482,TECLADO_ESP,93,3,7520
483,CELULAR_MOTOG5,42,3,2894
484,TV_LG_54,69,3,5600
487,CELULAR_MOTOG5,93,3,7520
488,TECLADO_ESP,42,3,2894
495,NOTEBOOK_HP,104,3,8400
